SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015
10,0,0,0,United States,308745538,308758105,309346863,311718857,314102623,316427395,318907401,321418820,588758,2371994,2383766,2324772,2480006,2511419,987836,3973485,3936976,3940576,3958107,3985924,598691,2512442,2501531,2608019,2611362,2625033,389145,1461043,1435445,1332557,1346745,1360891,199613,910951,948321,992215,1133261,1150528,0,0,0,0,0,0,199613,910951,948321,992215,1133261,1150528,0,0,0,0,0,0,12.79569898,12.5817861,12.49924948,12.45990941,12.44966665,8.090744406,7.994391628,8.272465785,8.220428084,8.199048903,4.704954574,4.587394476,4.226783696,4.239481321,4.250617749,2.933509195,3.030643819,3.14724112,3.567445092,3.593568285,0,0,0,0,0,2.933509195,3.030643819,3.14724112,3.567445092,3.593568285
20,1,0,0,Northeast Region,55317240,55318348,55387174,55638038,55835056,56019353,56171281,56283891,68826,250864,197018,184297,151928,112610,163421,646260,637884,635765,631620,635486,110778,470867,461046,480036,476784,479649,52643,175393,176838,155729,154836,155837,52737,247391,242341,259986,298609,298875,-34519,-163606,-218973,-215832,-290692,-324078,18218,83785,23368,44154,7917,-25203,-2035,-8314,-3188,-15586,-10825,-18024,11.64168009,11.44462717,11.36772356,11.25976345,11.30203242,8.482163493,8.271879491,8.583228937,8.499533036,8.530492488,3.159516597,3.172747677,2.784494619,2.760230413,2.771539934,4.456483272,4.347972974,4.648650014,5.323242937,5.315451387,-2.947186446,-3.928714852,-3.859159454,-5.182108161,-5.763683328,1.509296825,0.419258122,0.78949056,0.141134776,-0.448231941
20,2,0,0,Midwest Region,66927001,66929897,66977505,67156488,67340231,67565788,67762069,67907403,47608,178983,183743,225557,196281,145334,212625,834893,830699,830851,833294,835105,140751,586883,584786,605122,591344,589347,71874,248010,245913,225729,241950,245758,24650,113207,122892,130890,150069,151417,-48164,-180659,-184582,-128556,-182237,-238428,-23514,-67452,-61690,2334,-32168,-87011,-752,-1575,-480,-2506,-13501,-13413,12.44864156,12.35270282,12.31747859,12.315188,12.31087566,8.750697521,8.695914731,8.971015593,8.739427537,8.687982511,3.69794404,3.656788089,3.346462992,3.575760459,3.622893144,1.687968836,1.827434913,1.940461975,2.21785822,2.23214549,-2.693709416,-2.744780711,-1.905860108,-2.69326662,-3.514836411,-1.005740581,-0.917345798,0.034601866,-0.4754084,-1.282690921
20,3,0,0,South Region,114555744,114562953,114862858,116080267,117331340,118487418,119795010,121182847,299905,1217409,1251073,1156078,1307592,1387837,368752,1509593,1504986,1504764,1521933,1534496,228775,962661,960465,1011030,1016353,1023601,139977,546932,544521,493734,505580,510895,75972,330851,353727,358686,407843,417245,82215,324112,347512,290702,371437,444240,158187,654963,701239,649388,779280,861485,1741,15514,5313,12956,22732,15457,13.07328807,12.89555408,12.76203821,12.77419416,12.73557678,8.336779889,8.229796387,8.57463595,8.530658417,8.495394662,4.736508177,4.665757689,4.187402259,4.243535742,4.240182118,2.865216274,3.030928963,3.04204808,3.423189896,3.462932281,2.806855584,2.977675399,2.465469689,3.117619735,3.686977762,5.672071858,6.008604362,5.507517769,6.540809631,7.149910043
20,4,0,0,West Region,71945553,71946907,72119326,72844064,73595996,74354836,75179041,76044679,172419,724738,751932,758840,824205,865638,243038,982739,963407,969196,971260,980837,118387,492031,495234,511831,526881,532436,124651,490708,468173,457365,444379,448401,46254,219502,229361,242653,276740,282991,468,20153,56043,53686,101492,118266,46722,239655,285404,296339,378232,401257,1046,-5625,-1645,5136,1594,15980,13.55844396,13.15769742,13.10159581,12.99050114,12.97199937,6.788348424,6.763641042,6.918933717,7.046978391,7.041699543,6.770095539,6.394056381,6.182662089,5.943522751,5.930299823,3.028378406,3.132489839,3.280184325,3.70136862,3.742680051,0.278042615,0.765405313,0.725727585,1.357444909,1.564119703,3.306421021,3.897895153,4.00591191,5.058813529,5.306799753
40,3,6,1,Alabama,4779736,4780127,4785161,4801108,4816089,4830533,4846411,4858979,5034,15947,14981,14444,15878,12568,14226,59689,59062,57938,58334,58305,11089,48811,48357,50843,50228,50330,3137,10878,10705,7095,8106,7975,1357,4926,4904,4834,5529,5726,537,11,-929,1838,2816,-2268,1894,4937,3975,6672,8345,3458,3,132,301,677,-573,1135,12.45302004,12.28258088,12.0120805,12.05628554,12.01497312,10.18352396,10.0563605,10.54109926,10.38096325,10.37155642,2.269496089,2.226220384,1.470981241,1.675322292,1.643416699,1.027719961,1.019839772,1.002216113,1.14271613,1.179962887,0.002294949,-0.193195585,0.381066035,0.582001921,-0.467369163,1.03001491,0.826644188,1.383282148,1.724718052,0.712593724
40,4,9,2,Alaska,710231,710249,714021,722720,731228,737442,737046,738432,3772,8699,8508,6214,-396,1386,2892,11711,11126,11348,11462,11498,918,3928,3934,4040,4172,4282,1974,7783,7192,7308,7290,7216,568,1512,2737,2319,2335,2601,1191,-843,-1415,-2875,-10645,-7678,1759,669,1322,-556,-8310,-5077,39,247,-6,-538,624,-753,16.30217277,15.30453634,15.45343746,15.5470916,15.58545773,5.467930546,5.411472762,5.501576256,5.658913467,5.804220734,10.83424222,9.893063576,9.951861208,9.888178134,9.781236996,2.104763489,3.764921442,3.157959242,3.16720109,3.525637116,-1.173489167,-1.946424494,-3.915106865,-14.43891032,-10.40747473,0.931274322,1.818496948,-0.757147623,-11.27170923,-6.881837615
40,4,8,4,Arizona,6392017,6392307,6408208,6468732,6553262,6630799,6728783,6828065,15901,60524,84530,77537,97984,99282,20937,86104,85566,86103,86556,87385,11489,48152,48759,50592,52148,53233,9448,37952,36807,35511,34408,34152,2266,12638,13618,14622,16976,17344,4417,8547,34155,25745,41548,45934,6683,21185,47773,40367,58524,63278,-230,1387,-50,1659,5052,1852,13.37336355,13.14176615,13.06168107,12.95789045,12.89163971,7.478795428,7.488714862,7.674721772,7.806831082,7.853300413,5.894568119,5.653051292,5.386959299,5.151059367,5.038339295,1.962888699,2.091538362,2.218132941,2.541396879,2.558706862,1.327489295,5.245740399,3.905473435,6.219955085,6.776501441,3.290377994,7.337278761,6.123606376,8.761351965,9.335208302
40,3,7,5,Arkansas,2915918,2915958,2922394,2938538,2949499,2957957,2966835,2978204,6436,16144,10961,8458,8878,11369,9439,38445,38604,37979,37912,37820,7023,29427,29741,30945,29154,29401,2416,9018,8863,7034,8758,8419,736,2816,3176,3321,3813,3893,3182,4001,-1273,-1306,-3143,-1212,3918,6817,1903,2015,670,2681,102,309,195,-591,-550,269,13.1190739,13.11268934,12.85798828,12.79774885,12.72321342,10.04174763,10.10217837,10.47659094,9.841358144,9.890935955,3.077326268,3.010510973,2.381397339,2.956390705,2.832277467,0.960939318,1.078797569,1.124341849,1.287133793,1.309663402,1.365311865,-0.432402174,-0.442153103,-1.060965516,-0.40773492,2.326251183,0.646395395,0.682188746,0.226168277,0.901928482
40,4,9,6,California,37253956,37254503,37334079,37700034,38056055,38414128,38792291,39144818,79576,365955,356021,358073,378163,352527,123324,509767,497431,499617,499583,503849,57284,238466,239640,247854,257309,260624,66040,271301,257791,251763,242274,243225,29855,146698,144350,155560,177814,180722,-17188,-43087,-44082,-51230,-33309,-77219,12667,103611,100268,104330,144505,103503,869,-8957,-2038,1980,-8616,5799,13.58760648,13.13243613,13.0669754,12.94148871,12.92963022,6.356202278,6.326620161,6.482369736,6.66548205,6.688059215,7.231404201,6.805815966,6.584605663,6.276006662,6.241571008,3.910168166,3.81091479,4.068513868,4.606197316,4.637636739,-1.148464299,-1.16378764,-1.339868639,-0.862855717,-1.98157209,2.761703867,2.64712715,2.728645229,3.7433416,2.656064648
