StateFIPS,B27001_004,B27001_005,B27001_007,B27001_008,B27001_010,B27001_011,B27001_013,B27001_014,B27001_016,B27001_017,B27001_019,B27001_020,B27001_022,B27001_023,B27001_025,B27001_026,B27001_028,B27001_029,B27001_032,B27001_033,B27001_035,B27001_036,B27001_038,B27001_039,B27001_041,B27001_042,B27001_044,B27001_045,B27001_047,B27001_048,B27001_050,B27001_051,B27001_053,B27001_054,B27001_056,B27001_057
1,175474,6079,367243,17018,173849,58849,203841,84930,221190,62629,261127,53408,264347,29274,188783,959,113254,302,167225,5624,354569,16779,188498,48144,240807,73746,251631,58531,291757,49090,290362,34209,221378,1083,173292,505
2,30190,4011,54623,7817,26917,12275,36809,16530,33535,10622,39113,11846,40067,7409,22169,350,9408,63,28396,3262,52049,7319,25692,8152,39654,12780,35020,8581,38564,9473,36128,7924,20507,491,11553,59
4,241257,24510,489787,68088,233098,92136,304059,121733,308087,91790,324665,79013,316215,49511,271988,3484,186687,1276,234331,23384,471334,62525,245929,72752,343969,83954,333081,78134,352217,71080,356215,52785,305218,4413,232988,1816
5,111907,5935,229162,13871,101489,40199,126755,56220,133116,42393,151166,36011,152610,20799,119772,537,74940,177,107330,5437,218816,13033,105642,34898,141394,49077,147068,35994,164527,32907,167199,22841,135587,878,105280,226
6,1473715,70403,2903758,227508,1458114,515578,1942603,825495,1933620,590199,2076381,483481,1816688,294777,1212311,23669,833022,7410,1403034,69261,2793332,217850,1511793,403457,2149388,572806,2097264,476339,2184995,441813,1967188,310210,1395627,31597,1185634,11992
8,197808,11391,390323,34172,199090,55076,284391,97584,286062,67599,297558,52835,284742,33550,179780,1474,103961,545,186121,11047,376655,32378,203107,41910,309212,64813,295286,51381,313339,46154,299875,34486,196361,1762,144692,694
9,114438,3461,272436,10137,145369,25759,167352,43468,183787,29942,239139,27575,212132,17069,132393,1041,91571,488,110743,3768,258391,10152,149262,17433,189818,26552,209668,19279,262348,22772,227997,17976,152661,1804,139465,953
11,23820,401,30650,1004,31771,3712,59244,6800,39374,4339,34210,3477,28826,2213,17449,135,10941,117,22758,434,31245,752,42265,2042,72984,4253,42504,2314,35155,2846,34428,1898,22735,179,19240,95
10,32787,1293,66147,3167,37479,6340,44012,12187,45032,7480,55248,6382,52098,4220,39292,245,24243,170,32151,981,64175,3079,40390,4704,52522,7656,51836,5235,61630,6180,59168,4960,45022,608,33449,220
12,616271,47991,1238390,156476,580489,289512,738073,441412,809031,347177,986067,327987,967046,208757,900614,15096,688826,5731,590129,47118,1183542,152408,624879,235730,887424,328928,921402,296358,1086249,309089,1099396,232822,1031269,21947,911671,9943
13,386371,27761,775921,76835,332222,150431,403422,226220,474560,167670,528346,134142,462751,78295,325518,3820,172752,1287,367679,24872,752627,75732,365087,127014,492021,193378,550355,154784,578545,136580,514680,93638,382148,4850,267497,2706
