FIPS,Incidence_Rate,Avg_Ann_Incidence,Recent Trend,StateFIPS,Mortality_Rate,Avg_Ann_Deaths,State,AreaName,All_Poverty,M_Poverty,F_Poverty,Med_Income,M_With,M_Without,F_With,F_Without,All_With,All_Without,POPESTIMATE2015
01001,74.9,43,stable,01,59.3,34,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01003,66.9,170,stable,01,48,121,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01005,74.6,25,stable,01,61.3,20,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01007,86.4,23,stable,01,67.8,17,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01009,69.7,51,stable,01,59.9,43,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01011,65.8,9,stable,01,29.7,4,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01013,58.3,17,stable,01,52.6,15,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01015,84.2,120,stable,01,59.9,86,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01017,75.4,34,falling,01,63.1,29,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01019,82.4,32,stable,01,54,21,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01021,73.9,39,stable,01,66,34,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01023,49.2,10,stable,01,43,9,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01025,69.5,23,stable,01,43.9,15,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01027,83.3,16,stable,01,69.1,13,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01029,74.9,14,stable,01,59.7,12,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01031,71.5,43,stable,01,55.1,33,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01033,75.9,57,stable,01,61.2,46,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01035,73.5,14,stable,01,60.2,12,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01037,82.6,14,stable,01,68.9,11,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01039,83,44,stable,01,71.9,39,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01041,61.5,11,stable,01,47.3,9,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01043,69.6,73,stable,01,61.4,63,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01045,76.7,44,stable,01,63.6,37,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01047,76.2,39,stable,01,65.3,33,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01049,60.8,51,stable,01,56.3,46,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01051,78.1,66,stable,01,66.1,55,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01053,75.5,36,stable,01,67,32,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01055,81.9,110,stable,01,67.7,90,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01057,77.3,19,stable,01,58.3,14,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01059,72.4,28,stable,01,65.8,25,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01061,90.3,35,stable,01,71.2,27,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01063,87.9,10,stable,01,34.5,5,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01065,71,14,stable,01,57.8,11,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01067,66.5,17,falling,01,56.3,14,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01069,70.8,88,stable,01,56.1,69,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01071,80.9,58,stable,01,64,46,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
