 FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000",Average Annual Count,Recent Trend
*,62.4,214614,falling
1001,74.9,43,stable
1003,66.9,170,stable
1005,74.6,25,stable
1007,86.4,23,stable
1009,69.7,51,stable
1011,65.8,9,stable
1013,58.3,17,stable
1015,84.2,120,stable
1017,75.4,34,falling
1019,82.4,32,stable
1021,73.9,39,stable
1023,49.2,10,stable
1025,69.5,23,stable
1027,83.3,16,stable
1029,74.9,14,stable
1031,71.5,43,stable
1033,75.9,57,stable
1035,73.5,14,stable
1037,82.6,14,stable
1039,83,44,stable
1041,61.5,11,stable
1043,69.6,73,stable
1045,76.7,44,stable
1047,76.2,39,stable
1049,60.8,51,stable
1051,78.1,66,stable
1053,75.5,36,stable
1055,81.9,110,stable
1057,77.3,19,stable
1059,72.4,28,stable
1061,90.3,35,stable
1063,87.9,10,stable
1065,71,14,stable
1067,66.5,17,falling
1069,70.8,88,stable
1071,80.9,58,stable
1073,65.1,482,falling
1075,80.4,17,stable
1077,69.3,87,stable
1079,88.1,37,stable
1081,59.4,71,stable
1083,73.4,69,stable
1085,57.6,8,stable
1087,57.9,15,stable
1089,64.8,236,falling
1091,61.6,17,stable
1093,74.2,33,stable
1095,79.4,90,stable
1097,75.4,347,stable
1099,62.3,19,stable
1101,61,144,falling
1103,80.4,116,stable
1105,83.1,11,stable
1107,65.6,18,stable
1109,61.8,22,stable
1111,75.5,24,stable
1113,78.7,47,stable
1115,74.7,72,stable
1117,57.1,108,stable
1119,55.5,9,stable
1121,74,74,stable
1123,70.5,41,stable
1125,72.3,135,stable
1127,98.3,89,stable
1129,74.8,16,stable
1131,73.2,11,stable
1133,90.8,31,stable
2013,* ,3 or fewer,*
2016,* ,3 or fewer,*
2020,61.5,131,stable
2050,62.7,6,stable
2060,* ,3 or fewer,*
2068,* ,3 or fewer,*
2070,* ,3 or fewer,*
2090,58.1,36,stable
2100,* ,3 or fewer,*
2110,35.1,9,stable
2122,64.9,39,stable
2130,88.3,12,stable
2150,74.7,7,stable
2164,* ,3 or fewer,*
2170,69.7,51,stable
2180,103.6,6,stable
2185,153.4,6,stable
2188,67.6,3,*
2201,81.4,4,stable
2220,44,4,stable
2232,* ,3 or fewer,*
2240,76.8,5,stable
2261,66.1,6,stable
2270,* ,3 or fewer,*
2280,78.8,6,stable
2282,* ,3 or fewer,*
2290,58.3,3,*
4001,22.9,16,rising
4003,46.9,84,stable
4005,36.7,39,stable
4007,54.3,52,stable
4009,45.5,16,stable
4011,64,6,stable
4012,54.4,25,stable
4013,52.2,2059,falling
4015,76.6,280,stable
4017,39.6,46,stable
4019,50.9,628,stable
4021,45.5,201,falling
4023,36.1,19,stable
4025,51.9,203,stable
4027,48,115,stable
5001,85.9,21,stable
5003,77,23,stable
5005,85.6,71,stable
5007,56.4,129,stable
5009,67.7,35,stable
5011,86.3,13,stable
5013,82.5,6,stable
5015,59.1,25,stable
5017,76.4,12,stable
5019,71.6,19,stable
5021,108.7,26,stable
5023,83.6,38,stable
5025,77.5,9,stable
5027,72,21,stable
5029,75,21,stable
5031,74.6,74,stable
5033,79.1,56,stable
5035,75.6,37,stable
5037,77.5,18,stable
5039,82.2,9,stable
5041,79.2,13,stable
5043,77.3,17,falling
5045,75.9,78,stable
5047,77.1,19,stable
5049,64.7,14,stable
5051,80.6,121,stable
5053,96.1,21,stable
5055,89.2,45,stable
5057,60.6,17,stable
5059,94.2,41,stable
5061,96.2,16,stable
5063,82.3,38,stable
5065,55.9,13,stable
5067,104.4,24,stable
5069,97.5,84,stable
5071,97.2,29,falling
5073,98.1,12,falling
5075,102.7,25,stable
5077,57,8,stable
5079,63.4,10,stable
5081,79.5,14,stable
5083,87,27,stable
5085,91.9,62,stable
5087,67.8,14,stable
5089,82.7,26,stable
5091,81.2,41,stable
5093,73.6,36,stable
5095,89.5,11,stable
5097,67.5,11,stable
5099,69.2,9,stable
5101,63.9,9,stable
5103,84,30,stable
5105,98.8,14,stable
5107,88.1,23,stable
5109,87.8,13,stable
5111,114,36,stable
5113,67.1,22,stable
5115,86.3,59,stable
5117,89,12,stable
5119,68,277,stable
5121,83.9,21,stable
5123,65.2,20,stable
5125,73.9,100,stable
5127,91.5,15,stable
5129,72.1,10,stable
5131,78.2,108,stable
5133,70.4,12,stable
5135,89.3,26,stable
5137,66.5,14,stable
5139,89,46,stable
5141,65.1,19,stable
5143,67.1,119,stable
5145,91.2,81,stable
5147,108.5,11,stable
5149,88.1,24,stable
6001,46,687,falling
6003,* ,3 or fewer,*
6005,58.7,38,stable
